customer_age,account_balance,annual_income,loan_amount,loan_duration_months,num_of_credit_cards,credit_card_utilization,monthly_salary,num_of_loans,num_of_defaults,num_of_transactions,avg_transaction_value,loan_to_income_ratio,credit_score,investment_value,savings_account_balance,fixed_deposit_amount,num_of_dependents,customer_tenure_years,emi_amount,house_value,insurance_amount,spending_score,digital_transactions_ratio,mobile_banking_usage_hours,branch_visits_per_month,internet_banking_logins,loan_interest_rate,customer_satisfaction_score,risk_factor,bank_profit
28,51547.37,558938.1,210550.17,71,4,0.97,49090.18,2,0,311,2447.59,0.46,678.69,124841.41,8423.1,0.0,3,1.88,12030.04,6435938.3,84254.23,59.19,0.98,10.72,3,13,8.38,2.05,0.4,200335.0
28,32774.32,746137.83,365490.56,50,3,0.02,70882.74,2,0,243,1610.68,0.28,651.34,93083.6,31364.95,148729.16,1,5.36,10244.52,4394986.1,193462.89,54.88,0.09,10.23,4,11,8.98,7.96,0.48,305742.29
41,80462.48,1085527.49,149479.45,52,3,0.8,62451.48,2,2,198,1524.21,0.46,642.99,90452.8,11301.07,233831.9,2,2.16,5863.12,3742662.83,103629.78,46.58,0.72,5.59,6,8,7.47,4.31,0.2,356988.33
53,60778.2,1201523.22,315056.41,68,3,0.79,71181.71,2,1,84,3147.53,0.45,688.73,93085.38,31985.51,159016.6,3,12.6,13537.21,5209926.0,25918.99,72.51,0.17,13.16,4,8,6.0,8.79,0.5,560673.08
57,29255.08,1215375.89,227682.97,60,0,0.3,60577.48,3,1,78,1835.58,0.58,630.83,149561.56,19295.65,245624.63,1,7.7,12172.45,3325024.91,117754.99,85.81,0.01,0.94,7,1,11.4,1.67,0.15,453591.4
41,46193.23,1002091.56,227619.19,24,3,0.14,24175.61,2,2,312,2149.66,0.28,621.13,68441.88,9300.69,118459.86,1,9.51,9965.24,4677502.83,57763.09,30.3,0.5,8.77,7,17,6.49,4.37,0.74,324748.28
20,32487.63,956015.63,313229.75,40,3,0.15,77698.7,1,2,270,2389.02,0.08,595.28,51463.56,13312.61,138298.76,1,8.33,16560.42,6181684.43,113599.74,22.09,0.16,14.25,2,4,11.79,4.02,0.59,417271.34
39,22344.01,848131.74,277204.1,58,1,0.7,91050.4,2,0,102,927.87,0.15,704.02,172672.35,33721.53,236327.99,3,10.8,13069.51,3040152.14,77370.87,67.02,0.97,8.24,4,25,6.79,9.94,0.08,359066.86
19,68523.55,894590.27,295649.04,31,2,0.64,79260.62,0,0,328,1988.88,0.7,697.06,101002.18,17022.53,212618.76,1,5.13,7028.07,5929655.0,80023.03,91.47,0.2,6.83,3,22,9.63,9.87,0.89,422177.84
41,88188.33,562203.57,327454.77,19,3,0.78,6917.13,3,2,125,1012.57,0.02,663.77,96826.85,29723.41,317947.73,1,2.49,13517.9,2950744.54,141406.31,34.82,0.19,2.01,4,11,12.0,2.71,0.62,350636.68
61,22028.65,495450.28,223495.33,50,4,0.94,66766.32,1,0,225,1921.53,0.86,729.71,126839.68,34004.4,157197.18,2,0.76,10764.77,5484570.31,36660.56,27.24,0.03,12.15,7,13,6.83,6.67,0.32,148946.83
47,61259.38,699156.39,201021.06,49,3,0.69,52998.81,3,1,59,2823.87,0.69,630.06,60443.59,19195.77,164017.25,1,6.96,15679.93,3364037.71,80589.81,22.61,0.33,5.61,3,27,8.54,5.82,0.05,145313.96
55,36987.15,657453.84,163187.96,70,0,0.16,43736.34,3,1,166,1400.92,0.77,699.04,130019.84,17768.07,117701.99,0,13.66,12828.95,5930187.03,76119.2,25.45,0.02,10.52,4,12,10.68,2.39,0.63,352109.57
19,40257.49,586692.99,183967.16,56,0,0.24,61840.98,3,0,329,1000.15,0.84,682.71,84690.91,15950.32,135716.23,2,4.93,11452.92,3808688.06,153481.57,13.49,0.5,2.96,6,2,6.19,2.51,0.37,200337.2
38,38152.12,874096.86,485927.55,48,0,0.84,57765.79,0,0,267,3132.61,0.12,642.97,145026.9,23520.98,225464.59,2,3.34,11282.13,4072181.63,86043.42,59.68,0.51,0.63,2,14,10.14,9.9,0.91,320539.49
50,32720.18,938826.3,349574.37,28,3,0.21,67629.87,3,0,224,1311.77,0.82,655.37,38650.64,35059.3,149981.42,3,13.93,6434.54,3373870.32,62336.91,28.08,0.05,4.58,5,14,6.48,5.07,0.03,348595.93
29,50970.43,722101.72,141914.05,61,1,0.07,60848.7,3,1,283,1100.85,0.5,651.53,118026.65,7729.64,93489.6,1,2.03,8463.93,1605615.39,109249.74,61.49,0.24,4.22,8,2,7.42,2.13,0.04,216432.48
39,33381.0,1069382.52,144203.36,24,4,0.7,43187.82,2,0,301,2971.42,0.89,692.64,90750.7,22191.52,123676.37,0,1.25,10625.06,3129189.55,64228.55,8.3,0.83,13.1,3,19,6.96,2.93,0.95,331852.34
61,55409.14,414577.72,288549.28,60,3,0.4,51350.97,0,2,344,1288.12,0.89,709.67,71814.27,21758.79,143677.0,0,13.25,5884.75,2478546.62,70025.17,11.55,0.46,12.97,3,18,11.44,3.42,0.96,240069.95
42,48995.24,651585.14,293781.18,65,1,0.92,48930.62,1,0,371,2986.95,0.02,658.68,130853.78,1958.13,98024.21,1,10.66,11401.57,2049737.18,127604.73,53.61,0.43,8.01,5,14,7.08,5.6,0.03,270579.05
66,45221.04,520794.42,293910.71,64,1,0.65,34252.75,1,2,55,2164.45,0.38,644.39,94067.12,11125.34,117942.86,1,6.62,7770.17,4852727.82,0.0,51.15,0.7,0.28,5,18,6.24,4.02,0.72,152932.43
44,31848.73,233365.85,229603.54,38,3,0.09,39425.33,1,0,70,2770.37,0.53,686.86,118640.51,13174.59,80014.4,3,11.41,8820.46,6329840.45,61438.87,27.15,0.71,3.42,2,7,9.53,5.1,0.22,146833.72
59,38464.57,679329.83,239963.66,24,3,0.95,56833.97,0,0,122,2111.64,0.68,597.41,150628.48,27640.3,120417.66,0,11.25,12132.1,6656822.25,72929.27,82.71,0.76,9.59,0,22,8.08,2.5,0.7,243826.55
45,65107.82,669563.12,276230.36,33,1,0.26,81356.31,1,1,379,2647.82,0.29,681.72,131659.83,29389.51,231634.64,2,1.08,8332.15,3104883.25,161805.07,18.7,0.83,1.52,2,12,8.43,3.94,0.87,272208.12
33,60018.34,1078362.44,256871.44,57,1,0.34,51966.64,0,2,85,1448.93,0.25,758.09,56785.15,1246.22,153387.26,3,10.31,11408.46,4368099.28,117813.23,36.07,0.23,10.51,7,22,6.71,1.63,0.1,376639.14
32,30448.9,857702.92,72455.97,54,1,0.4,48638.54,2,2,282,1631.84,0.38,644.8,78330.15,26392.02,322292.36,3,9.79,10434.91,5897744.79,98730.93,55.55,0.07,0.18,7,29,10.49,9.01,0.24,319448.51
64,51986.65,443953.29,231616.03,42,3,0.05,42280.7,2,2,265,730.69,0.5,671.16,118371.65,25099.28,96529.42,2,14.47,6824.13,2926080.43,95871.92,86.72,0.38,10.24,5,9,9.61,2.79,0.02,173576.35
68,65027.74,1163523.14,181887.49,31,1,0.5,60458.05,0,1,255,2583.07,0.95,731.23,131755.08,25783.87,183984.61,3,14.52,12644.18,5944325.27,104938.74,41.86,0.86,12.67,6,1,8.19,7.81,0.04,444181.24
61,16611.89,1005258.42,264016.91,45,0,0.12,77688.89,1,2,93,2251.74,0.76,717.73,84361.75,21527.46,165554.41,1,5.98,12798.26,5964054.67,109824.1,39.86,0.08,7.04,1,10,7.03,4.15,0.03,290480.23
69,60867.2,845524.43,488820.72,43,3,0.4,90040.24,0,1,140,1395.61,0.43,683.09,107914.14,29504.4,195530.77,2,9.05,12961.31,2164664.38,105021.42,57.95,0.58,12.44,8,24,9.56,5.27,0.8,431987.86
20,36747.52,643378.98,279398.53,59,0,0.35,64280.99,0,0,365,950.66,0.05,677.07,107663.48,31715.21,107575.16,2,2.55,15723.04,1672701.14,177862.96,31.67,0.7,11.72,2,28,10.67,3.62,0.3,343959.36
54,61411.97,460140.19,224917.63,27,2,0.77,62099.91,3,0,142,2169.09,0.17,618.22,113235.97,3661.34,124207.44,0,1.46,8766.59,4019701.04,82431.86,70.92,0.48,10.07,1,21,7.87,7.27,0.49,199745.1
68,34734.82,606948.31,323744.12,21,3,0.8,51847.9,0,2,388,3005.57,0.46,704.56,52842.11,19512.76,178507.9,2,6.78,4151.06,5625689.8,106975.51,24.87,0.26,6.68,4,29,6.16,8.6,0.79,220017.33
24,13902.36,972187.15,288615.03,33,2,0.15,54351.5,3,0,132,1917.22,0.81,612.83,43398.71,17455.11,114673.15,3,10.5,8028.98,2676327.44,101519.68,82.32,0.33,4.08,0,18,7.29,3.58,0.49,316439.67
38,17449.15,1171146.58,283607.56,40,1,0.37,69437.63,2,0,382,1604.93,0.38,576.74,9630.52,14272.53,25857.14,0,8.73,12878.48,2054033.51,137571.16,27.24,0.07,12.91,4,8,10.09,3.18,0.43,422416.09
26,50961.7,1085810.88,298548.05,65,1,0.37,55276.87,3,2,331,1437.76,0.54,730.41,104222.44,15454.92,241731.61,3,6.73,9755.89,4577240.22,72271.03,99.27,0.29,9.73,9,8,11.93,7.13,0.01,466817.24
56,55194.45,577787.64,414523.49,50,4,0.15,57565.76,0,0,70,2749.61,0.89,699.35,45432.39,21867.84,212166.65,1,12.36,5785.68,5259311.17,85327.34,31.65,0.04,11.97,3,5,6.08,2.76,0.57,262493.12
35,31913.67,420095.64,159528.93,51,1,0.8,59619.79,2,2,277,1532.45,0.91,723.99,185469.03,7033.91,120800.39,1,12.02,4949.73,3683780.13,39533.85,87.88,0.73,8.28,5,28,7.84,6.76,0.12,239303.39
21,62771.85,735221.56,287890.57,60,2,0.71,51137.58,3,2,179,1777.29,0.22,643.17,126164.64,26706.22,165282.2,0,11.11,14261.07,3781855.14,139480.59,39.74,0.9,2.58,4,9,6.37,1.85,0.76,243894.62
42,16769.6,257890.16,175889.51,31,1,0.19,58875.31,0,0,224,2625.04,0.04,703.32,52725.32,16308.78,220478.14,0,1.62,11825.75,5252025.87,39084.11,24.61,0.63,14.69,8,21,7.9,6.58,0.26,111671.08
31,48678.4,780791.93,294441.01,30,3,0.37,29708.91,2,0,157,2382.49,0.31,658.05,145405.23,28746.47,244095.49,3,12.05,8510.0,3456095.13,121582.26,22.62,0.66,2.74,4,23,8.44,5.62,0.67,327478.81
67,25779.68,663099.35,176505.08,70,1,0.11,68232.54,3,0,332,1800.25,0.7,663.64,145499.93,13800.69,157298.15,1,13.83,15647.55,3546160.24,167243.83,85.02,0.47,13.67,7,7,11.53,2.03,0.65,275700.81
26,36963.28,583490.87,216610.65,11,4,0.63,95276.58,0,0,120,1580.61,0.95,728.69,148748.97,13258.86,109024.84,0,1.36,17946.71,4832744.29,177029.42,30.88,0.16,3.12,1,14,6.48,6.84,0.62,234874.26
43,50947.97,301324.23,226392.81,28,1,0.12,51719.35,0,0,99,2879.35,0.08,672.51,67677.13,10545.37,252498.79,1,6.32,13104.54,4966797.53,87761.26,33.86,0.01,5.61,2,5,10.66,5.02,0.27,219479.21
19,32791.73,828400.03,328065.34,69,2,0.99,65607.56,1,1,144,1330.18,0.03,645.18,128642.17,13856.45,156630.35,1,14.83,12266.03,4231289.01,86164.9,19.7,0.34,6.6,2,6,8.37,2.95,0.27,407949.86
37,42308.89,566824.79,323476.36,48,2,0.78,72773.64,1,0,328,1873.83,0.88,611.72,149426.69,11985.7,139696.14,1,9.19,11584.76,6281380.71,97035.24,96.13,0.75,13.82,2,19,10.87,4.18,0.86,264589.51
45,70125.86,407520.79,150342.61,28,1,0.39,79203.23,3,1,386,1096.47,0.75,698.03,162834.29,24347.47,168424.93,3,7.95,12567.07,5399727.63,136029.57,24.47,0.96,13.32,5,16,9.08,5.43,0.01,153242.2
64,38462.16,0.0,254394.73,35,2,0.58,56035.18,3,2,181,2713.32,0.99,732.97,39050.29,30471.07,230830.87,3,3.07,15875.11,4078874.54,94716.16,24.74,0.43,12.35,6,3,6.24,1.82,0.18,24015.8
24,66713.84,693121.27,193233.61,23,2,0.91,32950.24,3,0,325,1715.07,0.4,640.84,91294.64,23878.68,147284.09,1,8.7,7081.85,2951147.65,89050.47,94.39,0.37,5.65,6,7,11.68,9.62,0.61,321658.56
61,27405.86,1143062.9,149319.61,26,4,0.55,64008.48,0,0,62,1580.22,0.42,714.45,66239.63,19225.78,219019.95,1,6.87,8982.77,5689707.13,142908.23,90.09,0.45,0.07,6,27,6.5,6.99,0.82,356933.94
25,60596.08,1115314.8,232638.64,62,3,0.17,61929.43,3,0,52,2397.0,0.17,632.86,174564.97,24868.87,135402.05,1,2.35,9856.64,5731771.1,101747.01,24.89,0.43,10.22,2,12,9.59,1.92,0.36,345869.34
64,78831.37,585725.94,225321.38,28,4,0.38,54815.0,0,2,273,1144.69,0.12,717.47,119642.29,19635.8,192633.87,2,7.23,11722.93,4381168.47,93876.45,86.47,0.63,6.16,0,23,11.27,8.41,0.65,174386.55
52,567.11,549446.98,444137.32,50,0,0.84,57997.32,3,1,224,2381.23,0.58,681.65,135649.91,20285.73,83633.81,2,2.88,14696.28,4832258.45,64954.73,24.98,0.73,11.36,5,13,6.48,3.9,0.56,324564.7
31,34062.09,817193.56,284636.79,49,4,0.64,62155.21,0,1,139,1783.67,0.36,693.39,119054.21,16933.61,224872.66,3,11.09,11238.49,5341492.25,141081.22,8.45,0.78,11.92,2,17,9.32,6.37,0.06,260907.44
34,61541.44,450403.64,139790.6,52,1,0.65,65426.43,0,0,290,1276.82,0.08,645.13,115011.42,28365.91,102677.09,1,14.62,11875.7,6423724.32,109883.13,82.04,0.65,6.6,2,22,10.95,3.49,0.62,167374.4
53,45939.09,775447.97,204818.08,45,3,0.87,64797.15,1,0,84,1405.84,0.89,697.88,65468.48,0.0,182150.1,2,7.31,12030.15,5564711.39,99531.1,77.16,0.44,11.22,2,28,11.92,7.6,0.81,298767.12
67,57422.92,891520.07,331710.66,56,1,0.89,56734.72,2,0,63,1589.48,0.2,650.12,82139.62,0.0,45940.22,0,9.67,10069.26,5034021.12,25521.01,29.47,0.95,12.6,8,16,10.35,7.51,0.99,278599.38
57,37920.3,1006733.31,417075.42,47,0,0.92,65764.18,0,0,244,1733.57,0.75,659.32,102860.61,30272.24,151737.0,0,6.75,8751.6,5615699.65,138179.94,9.01,0.71,13.93,3,17,7.67,5.97,0.03,430831.57
21,51731.8,674961.48,123121.34,12,3,0.09,55724.54,3,2,355,1280.88,0.28,604.12,74056.57,18034.73,163168.62,1,2.51,10224.03,5881348.44,54630.09,20.64,0.43,8.74,4,13,10.2,3.17,0.66,218148.83
19,46886.46,649081.56,99606.05,55,2,0.54,69630.38,1,0,383,2176.71,0.81,641.39,66673.13,29172.34,102307.19,2,14.57,8037.11,4824863.32,118076.76,77.11,0.45,11.68,2,23,10.23,3.28,0.41,134261.68
23,73355.64,480504.35,399677.21,53,4,0.74,50588.36,3,2,262,1265.17,0.12,653.73,91772.91,13919.21,142315.78,0,2.38,8088.71,5601035.12,68858.63,96.47,0.82,7.42,9,10,10.2,4.45,0.01,257597.83
59,55088.42,493279.91,281169.13,11,1,0.76,61095.87,3,0,52,580.93,0.76,695.64,75794.24,36742.44,168347.06,3,2.12,11104.11,3688429.37,57076.04,25.9,0.44,0.62,0,9,11.13,2.31,0.61,249435.44
21,56752.05,643380.28,180536.58,14,0,0.61,35643.92,0,1,228,3151.77,0.1,709.78,101992.68,18634.81,189428.81,0,7.16,8565.33,5742318.93,137126.06,81.83,0.52,2.33,3,12,6.52,4.04,0.12,257680.97
46,41762.46,791841.38,292770.33,62,2,0.17,54451.34,0,1,89,2118.76,0.45,649.6,82285.18,24493.92,157010.02,3,10.05,15540.11,3698402.8,104066.32,22.79,0.29,1.92,0,28,6.65,7.16,0.38,343303.35
35,40247.88,928396.16,39140.18,36,4,0.8,68512.33,2,0,213,3205.69,0.73,671.78,72605.65,15528.54,243271.07,0,5.65,10439.63,3290002.59,101641.6,67.96,0.84,2.58,6,19,9.84,8.48,0.26,312100.62
43,41348.84,499205.26,250270.04,26,2,0.72,44493.98,0,0,356,1373.8,0.17,764.32,62895.03,11028.68,231078.36,0,3.29,14077.76,4345388.78,178020.38,8.36,0.52,0.15,6,15,11.72,3.99,0.36,258270.95
61,57889.04,1073172.14,276225.69,45,4,0.09,55198.49,0,2,284,2287.88,0.29,686.56,100243.84,2590.71,147856.52,2,12.37,6264.72,2889890.39,177401.43,58.53,0.55,12.88,3,13,8.8,3.1,0.49,348751.53
51,41580.31,632219.1,323941.61,50,3,0.46,23923.96,2,0,306,2536.77,0.86,653.16,135531.93,27857.04,56876.84,0,5.76,6356.54,3784198.12,90121.84,26.92,0.88,8.4,4,2,11.76,8.49,0.36,221139.58
27,55795.5,694658.18,168888.32,54,2,0.17,39478.89,3,0,165,1886.39,0.89,596.02,126034.86,23954.18,115904.66,0,3.32,9666.79,4954168.58,47714.15,92.58,0.92,5.75,9,29,11.63,9.02,0.55,211458.68
53,91508.02,513197.08,256854.97,25,2,0.34,43402.88,2,0,101,1133.33,0.04,637.3,38923.59,20936.93,0.0,3,5.79,12810.3,4833509.03,156552.47,28.98,0.82,6.15,6,17,11.42,4.69,0.24,183403.49
31,67422.49,93939.93,175966.03,22,2,0.02,61526.27,2,1,191,1841.31,0.17,635.36,134390.03,8613.84,137180.91,3,3.61,8529.83,5267470.28,46215.66,39.84,0.07,6.95,5,26,11.46,1.24,0.64,188429.8
48,43479.53,921011.35,270430.7,33,3,0.4,65001.14,2,2,135,2375.84,0.12,778.89,125752.36,34154.66,248122.74,0,8.03,9698.87,5286003.76,119007.96,84.07,0.44,1.11,3,5,11.39,7.25,0.85,312608.32
65,74024.28,884210.97,178372.29,46,0,0.55,59159.17,1,1,95,2352.93,0.18,637.58,135490.94,21058.73,205370.61,1,10.19,12999.78,4949052.3,89284.3,43.83,0.34,4.12,3,19,10.92,8.06,0.22,299091.46
32,41838.49,629668.11,217351.93,71,4,0.62,54261.1,3,2,381,1999.02,0.97,682.55,143344.49,27028.89,155845.74,0,12.09,8835.91,3478021.83,103039.98,23.84,0.21,12.77,1,2,10.17,1.16,0.51,243024.57
25,9237.51,716747.68,170334.77,30,2,0.66,54313.47,1,1,287,2538.37,0.55,698.54,70893.85,19970.13,99077.5,0,3.8,7727.44,5607923.87,149051.66,54.75,0.91,11.16,9,18,6.15,6.36,0.65,245404.67
31,29838.27,828984.8,302090.9,63,3,0.84,70740.69,1,0,59,2510.05,0.47,735.33,88007.89,9105.78,158561.3,2,2.92,12125.18,4368458.81,68526.22,84.0,0.89,8.45,1,25,6.79,6.3,0.56,428179.85
40,12584.16,309363.54,318676.09,46,0,0.22,63192.3,0,1,201,1685.8,0.98,680.4,171618.54,29924.36,299185.92,0,0.78,6087.89,4788325.59,75673.57,43.32,0.47,7.21,3,2,6.81,4.41,0.37,106940.62
57,42969.73,567736.83,231230.35,11,4,0.12,54990.82,2,1,110,1087.75,0.56,654.48,169241.62,24507.68,254138.9,0,3.81,8879.01,4624928.58,130322.1,13.29,0.13,3.88,4,11,6.14,7.75,0.64,357783.47
38,50368.37,898566.17,253059.04,43,3,0.85,79399.49,2,2,67,2114.26,0.66,651.17,96936.46,18185.9,139479.33,3,0.85,10342.83,6389520.97,171552.73,38.31,0.01,7.07,3,7,6.7,4.85,0.03,344609.79
33,83528.75,386427.64,134112.69,11,4,0.16,89249.63,1,2,135,1552.02,0.33,697.82,124124.46,24336.71,46263.71,3,5.51,11587.06,3066149.96,198966.96,95.45,0.44,8.97,2,24,11.52,7.09,0.37,206149.42
62,56538.55,773389.48,226025.87,50,2,0.97,41313.86,0,1,186,2086.25,0.38,645.78,127623.99,28175.44,304566.74,3,2.61,12467.94,4088251.54,41967.57,7.2,0.04,10.69,1,24,9.98,5.65,0.53,303685.36
35,45617.99,360854.55,245983.63,19,0,0.84,67837.65,0,2,279,2807.32,0.59,624.79,170305.79,26602.06,98981.2,3,8.91,12935.96,5137625.45,83215.57,40.84,0.61,2.5,3,4,7.87,3.24,0.02,226061.6
64,66588.11,816607.5,459663.45,71,3,0.5,106348.34,0,2,177,2262.5,0.07,654.47,113811.22,2886.74,187105.27,0,6.06,9092.58,4526290.31,58738.29,64.8,0.61,12.2,4,16,10.76,6.46,0.51,319751.81
41,5777.29,691089.63,161042.64,45,0,0.98,64203.08,3,2,153,2777.75,0.26,613.78,51508.52,5097.98,40889.82,1,1.86,12872.54,3918362.05,133862.07,7.85,0.9,5.19,0,9,8.93,7.63,0.65,177565.19
43,54712.29,296217.05,367134.18,8,2,0.1,61731.64,1,2,235,1393.11,0.2,772.53,80959.76,27328.49,127384.07,2,6.3,11518.45,2198355.89,102434.7,34.5,0.19,7.55,0,20,6.85,9.77,0.76,312448.67
42,65417.3,991184.84,329748.7,29,0,0.3,59163.99,3,2,227,2652.47,0.02,709.83,225341.47,13038.8,40605.16,2,3.54,12163.62,4155683.58,135111.49,94.06,0.37,9.12,5,16,11.31,4.42,0.11,499267.42
62,20428.28,516352.11,272450.91,24,0,0.64,67352.72,0,1,55,3005.96,0.54,761.04,49655.15,9513.87,68668.02,1,10.36,8098.65,4934909.43,84195.42,3.06,0.86,7.32,4,8,8.03,1.58,0.99,172777.71
58,72875.08,497436.89,390689.64,23,1,0.35,71323.49,0,2,390,2038.59,0.56,704.27,102011.16,23721.04,85269.92,1,5.78,11995.32,5152217.81,127981.12,75.17,0.47,8.58,3,12,10.19,9.89,0.61,288032.51
46,56769.93,750142.3,279768.44,69,0,0.93,41328.5,0,0,356,3393.23,0.38,756.23,192541.34,9210.56,183390.32,2,2.63,9541.75,4298310.94,92842.39,84.14,0.06,1.67,0,9,7.74,6.61,0.36,381759.85
32,41694.24,987159.34,281132.74,40,4,0.07,59602.75,2,1,85,1485.54,0.27,698.37,68010.27,15208.59,143273.69,0,5.57,10143.6,4713572.05,105689.22,27.71,0.11,6.48,6,28,9.0,9.52,0.25,404641.94
62,62655.64,446044.55,245750.35,67,3,0.55,25957.53,1,1,376,1616.7,0.65,716.31,0.0,28522.7,339858.14,2,3.75,10495.42,3127819.8,76950.36,21.47,0.81,4.21,3,7,10.9,1.93,0.57,178473.18
18,95413.86,715419.96,347885.51,6,1,0.59,56860.25,2,1,330,2389.96,0.13,573.31,0.0,4858.58,229365.81,1,12.04,16339.56,4967283.55,154401.74,91.48,0.74,1.29,2,6,6.94,4.08,0.88,397564.35
42,53637.33,807204.13,337717.54,30,3,0.65,46459.67,3,2,349,2032.68,0.52,634.28,68231.44,6317.36,230884.37,0,14.76,7255.43,4511325.95,49491.31,76.4,0.88,2.87,6,1,11.86,2.21,0.52,361208.47
24,54964.41,873276.4,199945.82,50,3,0.26,65087.66,2,0,63,1554.26,0.77,681.85,29482.61,3890.04,185256.73,2,0.87,13567.95,4698251.21,95450.8,11.34,0.12,9.04,1,1,6.42,8.52,0.66,269996.58
26,40812.78,744110.39,144460.22,54,2,0.36,35154.29,1,2,286,2371.46,0.16,683.06,141486.69,11388.35,169323.64,0,10.51,14291.12,4236667.08,171235.36,21.22,0.76,2.95,9,29,9.2,8.92,0.36,251226.86
41,33003.11,608243.04,233761.55,21,2,0.84,52315.24,2,1,334,2213.32,0.75,676.18,110725.76,20827.15,233234.01,0,4.33,12476.77,4755387.59,151039.27,62.14,0.66,2.72,0,3,11.5,5.51,0.39,199023.32
18,66606.72,493102.44,185996.91,24,1,0.19,74498.16,0,1,379,1648.23,0.76,702.65,14646.51,13812.12,0.0,1,1.46,8393.65,5261534.3,66271.29,41.94,0.23,8.29,3,8,11.67,2.68,0.29,186257.1
61,32878.32,721535.97,244918.03,28,2,0.83,49855.0,3,1,99,2113.43,0.06,704.71,36185.96,35033.49,106445.23,3,0.71,15089.52,4806550.03,68305.48,50.42,0.97,13.57,7,29,7.39,2.14,0.71,271130.92
25,51431.32,431965.25,348995.05,30,2,0.56,31425.96,3,1,310,2455.42,0.02,723.26,149605.62,24553.1,54765.4,2,13.27,9003.96,2312538.49,120562.99,95.15,0.57,11.83,5,24,6.86,6.29,0.36,272047.31
41,40446.85,0.0,213415.87,21,2,0.76,63863.0,0,2,159,1634.92,0.97,713.45,107726.36,19811.82,18099.76,1,5.63,12061.36,4831398.54,125997.35,42.02,0.91,13.58,8,13,10.35,5.56,0.19,87444.04
28,59579.6,809139.95,246574.13,59,3,0.71,51202.07,0,0,246,2310.2,0.19,740.2,157345.25,32674.09,96191.37,2,14.92,10362.74,4034559.37,147596.15,88.17,0.86,8.74,0,23,6.25,7.25,0.37,347404.27
68,56673.24,925983.71,254641.82,6,1,0.21,57211.72,0,0,301,1479.77,0.82,740.61,144760.43,6691.93,69654.87,3,6.91,8892.55,3650166.69,43629.61,66.07,0.33,6.15,0,10,8.91,3.75,0.85,381239.58
34,70750.8,109266.89,317874.47,47,3,0.57,49051.96,1,1,137,1595.71,0.56,688.73,53979.17,28665.72,233593.73,3,3.22,11640.05,6119007.57,152631.74,12.16,0.54,10.94,4,20,10.78,4.62,0.74,167508.9
